valor;created_at
12,19;10/09/2018 15:04
12,18;10/09/2018 15:10
12,19;10/09/2018 15:16
12,18;10/09/2018 15:21
12,18;10/09/2018 15:27
12,18;10/09/2018 15:33
12,18;10/09/2018 15:39
12,18;10/09/2018 15:44
12,18;10/09/2018 15:50
12,18;10/09/2018 15:56
12,18;10/09/2018 16:01
12,18;10/09/2018 16:07
12,17;10/09/2018 16:13
12,18;10/09/2018 16:19
12,18;10/09/2018 16:24
12,18;10/09/2018 16:30
12,18;10/09/2018 16:36
12,19;10/09/2018 16:41
12,19;10/09/2018 16:47
12,19;10/09/2018 16:53
12,19;10/09/2018 16:59
12,19;10/09/2018 17:04
12,18;10/09/2018 17:10
12,18;10/09/2018 17:16
12,17;10/09/2018 17:21
12,18;10/09/2018 17:27
12,18;10/09/2018 17:33
12,18;10/09/2018 17:39
12,18;10/09/2018 17:44
12,18;10/09/2018 17:50
12,17;10/09/2018 17:56
12,17;10/09/2018 18:01
12,15;10/09/2018 18:07
12,15;10/09/2018 18:13
12,15;10/09/2018 18:19
12,13;10/09/2018 18:30
12,13;10/09/2018 18:36
12,13;10/09/2018 18:41
12,14;10/09/2018 18:47
12,14;10/09/2018 18:53
12,13;10/09/2018 18:59
12,13;10/09/2018 19:04
12,14;10/09/2018 19:10
12,14;10/09/2018 19:16
12,14;10/09/2018 19:21
12,14;10/09/2018 19:27
12,13;10/09/2018 19:39
12,13;10/09/2018 19:44
12,13;10/09/2018 19:50
12,14;10/09/2018 19:56
12,13;10/09/2018 20:01
12,14;10/09/2018 20:07
12,15;10/09/2018 20:13
12,15;10/09/2018 20:19
12,11;10/09/2018 20:24
12,13;10/09/2018 20:30
12,13;10/09/2018 20:36
12,11;10/09/2018 20:41
12,1;10/09/2018 20:47
12,13;10/09/2018 20:53
12,11;10/09/2018 20:59
12,1;10/09/2018 21:04
12,1;10/09/2018 21:10
12,1;10/09/2018 21:16
12,1;10/09/2018 21:21
12,1;10/09/2018 21:27
12,1;10/09/2018 21:33
12,1;10/09/2018 21:39
12,09;10/09/2018 21:44
12,09;10/09/2018 21:50
12,1;10/09/2018 21:56
12,1;10/09/2018 22:01
12,11;10/09/2018 22:07
12,11;10/09/2018 22:13
12,11;10/09/2018 22:19
12,11;10/09/2018 22:24
12,11;10/09/2018 22:30
12,1;10/09/2018 22:36
12,11;10/09/2018 22:42
12,1;10/09/2018 22:47
12,1;10/09/2018 22:53
12,11;10/09/2018 22:59
12,08;10/09/2018 23:04
12,09;10/09/2018 23:10
12,09;10/09/2018 23:16
12,08;10/09/2018 23:22
12,08;10/09/2018 23:27
12,06;10/09/2018 23:33
12,06;10/09/2018 23:39
12,06;10/09/2018 23:44
12,05;10/09/2018 23:50
12,05;10/09/2018 23:56
12,05;11/09/2018 00:02
12,05;11/09/2018 00:07
12,06;11/09/2018 00:13
12,08;11/09/2018 00:19
12,08;11/09/2018 00:24
12,06;11/09/2018 00:30
12,06;11/09/2018 00:36
12,06;11/09/2018 00:42
12,05;11/09/2018 00:47
12,05;11/09/2018 00:53
12,05;11/09/2018 00:59
12,05;11/09/2018 01:05
12,05;11/09/2018 01:10
12,05;11/09/2018 01:16
12,04;11/09/2018 01:22
12,05;11/09/2018 01:27
12,05;11/09/2018 01:33
12,05;11/09/2018 01:39
12,05;11/09/2018 01:45
12,04;11/09/2018 01:50
12,04;11/09/2018 01:56
12,04;11/09/2018 02:02
12,02;11/09/2018 02:07
12,02;11/09/2018 02:13
12,02;11/09/2018 02:19
12,02;11/09/2018 02:25
12,02;11/09/2018 02:30
12,02;11/09/2018 02:36
12,02;11/09/2018 02:42
12,01;11/09/2018 02:48
12;11/09/2018 02:53
12;11/09/2018 02:59
12;11/09/2018 03:05
12;11/09/2018 03:10
12;11/09/2018 03:16
12;11/09/2018 03:22
11,99;11/09/2018 03:28
11,99;11/09/2018 03:33
11,99;11/09/2018 03:39
12;11/09/2018 03:45
11,99;11/09/2018 03:50
12;11/09/2018 03:56
11,99;11/09/2018 04:02
12;11/09/2018 04:08
12;11/09/2018 04:13
12;11/09/2018 04:19
12;11/09/2018 04:25
11,99;11/09/2018 04:30
11,99;11/09/2018 04:36
12;11/09/2018 04:48
12;11/09/2018 04:53
12;11/09/2018 04:59
12;11/09/2018 05:05
11,99;11/09/2018 05:11
11,99;11/09/2018 05:16
11,99;11/09/2018 05:22
12;11/09/2018 05:28
11,99;11/09/2018 05:33
11,99;11/09/2018 05:39
11,99;11/09/2018 05:45
11,99;11/09/2018 05:51
11,99;11/09/2018 05:56
11,99;11/09/2018 06:02
11,99;11/09/2018 06:08
11,97;11/09/2018 06:13
11,97;11/09/2018 06:19
11,97;11/09/2018 06:25
11,97;11/09/2018 06:31
11,97;11/09/2018 06:36
11,97;11/09/2018 06:42
11,97;11/09/2018 06:48
11,96;11/09/2018 06:54
11,96;11/09/2018 06:59
11,96;11/09/2018 07:05
11,96;11/09/2018 07:11
11,96;11/09/2018 07:16
11,96;11/09/2018 07:22
11,96;11/09/2018 07:28
11,96;11/09/2018 07:34
11,96;11/09/2018 07:39
11,95;11/09/2018 07:45
11,95;11/09/2018 07:51
11,95;11/09/2018 07:56
11,93;11/09/2018 08:14
11,95;11/09/2018 08:19
11,95;11/09/2018 08:25
11,95;11/09/2018 08:31
11,93;11/09/2018 08:36
11,93;11/09/2018 08:42
11,93;11/09/2018 08:48
11,93;11/09/2018 08:54
11,93;11/09/2018 08:59
11,93;11/09/2018 09:05
11,92;11/09/2018 09:11
11,92;11/09/2018 09:16
11,92;11/09/2018 09:22
11,92;11/09/2018 09:28
11,92;11/09/2018 09:34
11,92;11/09/2018 09:39
11,9;11/09/2018 10:31
11,9;11/09/2018 10:36
11,9;11/09/2018 10:42
11,9;11/09/2018 10:48
11,9;11/09/2018 10:54
11,9;11/09/2018 10:59
11,88;11/09/2018 11:05
11,88;11/09/2018 11:11
11,88;11/09/2018 11:16
11,88;11/09/2018 11:22
11,88;11/09/2018 11:28
11,88;11/09/2018 11:34
11,87;11/09/2018 11:39
11,88;11/09/2018 11:45
11,88;11/09/2018 11:51
11,87;11/09/2018 11:56
11,87;11/09/2018 12:02
11,87;11/09/2018 12:08
11,87;11/09/2018 12:14
11,87;11/09/2018 12:19
11,87;11/09/2018 12:25
11,87;11/09/2018 12:31
11,86;11/09/2018 12:36
11,84;11/09/2018 12:42
11,83;11/09/2018 12:48
11,83;11/09/2018 12:53
11,83;11/09/2018 12:59
11,83;11/09/2018 13:05
11,83;11/09/2018 13:11
11,83;11/09/2018 13:16
11,83;11/09/2018 13:22
11,83;11/09/2018 13:28
11,83;11/09/2018 13:33
11,82;11/09/2018 13:39
11,82;11/09/2018 13:45
11,82;11/09/2018 13:51
11,81;11/09/2018 13:56
11,81;11/09/2018 14:02
11,81;11/09/2018 14:08
11,81;11/09/2018 14:13
11,81;11/09/2018 14:19
11,81;11/09/2018 14:25
11,81;11/09/2018 14:31
11,81;11/09/2018 14:36
11,81;11/09/2018 14:42
11,81;11/09/2018 14:48
11,81;11/09/2018 14:53
11,81;11/09/2018 14:59
